ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,50_50,bad_behaviour_card,ball_recovery_offensive,block_offensive,goalkeeper_shot_saved_off_target,shot_open_goal,shot_saved_off_target,goalkeeper_shot_saved_to_post,injury_stoppage_in_chain,pass_goal_assist,pass_straight,pass_no_touch,clearance_other,pass_miscommunication,shot_saved_to_post,block_deflection,dribble_no_touch,shot_redirect,block_save_block,shot_deflected,player_off_permanent,goalkeeper_success_in_play,shot_follows_dribble,goalkeeper_lost_out,half_start_late_video_start,goalkeeper_lost_in_play,goalkeeper_penalty_saved_to_post,goalkeeper_saved_to_post
,,,,,,,,,,,,,,2.342915,,,,,,,,,,,,,,,,44a712e6-e4ff-4571-9bcf-e7266dc96987,382,,"[28.3, 5.1]",3754058,8,,,,,0.5236847,,Left Foot,,,,"[63.8, 25.6]",High Pass,,40.9939,Unknown,,Joshua King,3346.0,,,,,,1,From Throw In,Charlie Daniels,3345.0,Left Back,14,AFC Bournemouth,28,"['20fcc63d-0cae-4503-ba00-10770f892056', '5b16ea1d-5c6f-4a62-83f2-fbd6408ba851']",11,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:11.735,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,66cf4b81-af99-47b6-926a-9b77b4235dbf,386,,"[65.7, 23.3]",3754058,8,,True,,,1.6266207,,Right Foot,,,,"[63.8, 57.3]",Ground Pass,,34.053047,,,Adam Smith,6409.0,,,,,Free Kick,1,From Free Kick,Andrew Surman,3344.0,Center Defensive Midfield,15,AFC Bournemouth,28,['db1d7df1-8cc2-47b1-8892-ec2ef47f3f9d'],24,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:24.973,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.071257,,,,,,,,,,,,,,,,667e8991-2feb-4be0-8bdc-eee26216fb9e,388,,"[69.8, 68.0]",3754058,8,,,,,1.1390104,,Right Foot,,,,"[74.5, 78.2]",Ground Pass,,11.230762,,,Matt Ritchie,3049.0,,,,,,1,From Free Kick,Adam Smith,6409.0,Right Back,15,AFC Bournemouth,28,['388bff72-371c-47af-afee-63bbae6450f1'],29,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:29.531,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.376841,,,,,,,,,,,,,,,,2a6c697b-7ad4-4c34-aa01-f35a429694fe,391,,"[73.2, 77.2]",3754058,8,,,,,-2.5835383,,Left Foot,,,,"[56.7, 66.9]",Ground Pass,,19.450964,,,Simon Francis,3608.0,,,,,,1,From Free Kick,Matt Ritchie,3049.0,Right Midfield,15,AFC Bournemouth,28,['394191ad-27e9-4d47-96e3-18183f51b11b'],32,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:32.077,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.228821,,,,,,,,,,,,,,,,a6aee4fd-1b28-4ff9-8b24-e2adacf63a4a,394,,"[56.7, 66.9]",3754058,8,,,,,-1.2577412,,Right Foot,,,,"[62.3, 49.6]",Ground Pass,,18.183784,,,Andrew Surman,3344.0,,,,,,1,From Free Kick,Simon Francis,3608.0,Right Center Back,15,AFC Bournemouth,28,['377b8e05-1c3f-4cd9-a1f9-380cf2d2c88f'],33,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:33.494,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.81702,,,,,,,,,,,,,,,,ab82d8d7-01f2-486a-8f27-335fdcc1e19e,397,,"[59.3, 45.9]",3754058,8,,,,,-1.6789441,,Left Foot,,,,"[57.4, 28.4]",Ground Pass,,17.60284,,,Steve Cook,3341.0,,,,,,1,From Free Kick,Andrew Surman,3344.0,Center Defensive Midfield,15,AFC Bournemouth,28,['99e973c0-ebbd-432f-a964-83370aa002a5'],36,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:36.388,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.049244,,,,,,,,,,,,,,,,cb822fe5-4856-4884-b22b-81418a32eb9c,400,,"[67.6, 26.9]",3754058,8,,,,,-1.1416839,,Right Foot,,,,"[77.3, 5.7]",Ground Pass,,23.31373,,,Charlie Daniels,3345.0,,,,,,1,From Free Kick,Steve Cook,3341.0,Left Center Back,15,AFC Bournemouth,28,['63431833-8279-40bd-a2dd-5678827a4638'],41,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:41.112,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.177733,,,,,,,,,,,,,,,,e089e48f-2ee8-4a7a-b5af-72c5c6b394de,404,,"[77.5, 4.9]",3754058,8,,,,,2.7811708,,Left Foot,,,,"[57.6, 12.4]",Ground Pass,,21.266405,,,Steve Cook,3341.0,,,,,,1,From Free Kick,Charlie Daniels,3345.0,Left Back,15,AFC Bournemouth,28,"['70c4e1ce-fc6c-4c06-ad63-3aadbde3f491', '90c5cc83-5194-44f1-bc44-edad6ce67a5d']",44,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:44.742,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.155522,,,,,,,,,,,,,,,,8fac8ad1-5899-4cbc-932d-505b68e75341,407,,"[57.2, 28.4]",3754058,8,,,,,-1.0975336,,Right Foot,,,,"[67.8, 7.7]",Ground Pass,,23.256182,,,Harry Arter,3304.0,,,,,,1,From Free Kick,Steve Cook,3341.0,Left Center Back,15,AFC Bournemouth,28,['d0fdf9f4-c1ad-482a-9ef5-b7b742cb614d'],50,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:50.251,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.088131,,,,,,,,,,,,,,,,3504af08-5ea0-4f91-b60b-f3adfe5dd106,410,,"[70.4, 9.4]",3754058,8,,,,,0.26006806,,Left Foot,,,,"[93.7, 15.6]",Low Pass,,24.110786,Incomplete,,Joshua King,3346.0,,,,,,1,From Free Kick,Harry Arter,3304.0,Left Center Midfield,15,AFC Bournemouth,28,"['7f034a23-4da5-40a1-9b64-89510280131c', '90367d77-ab68-420a-9641-53f1de072670']",53,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:08:53.455,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
